# TED Palette - VICE
000000  COL_BLACK
FFFFFF  COL_WHITE
A04B43  COL_RED
95E0E6  COL_CYAN
B56CF7  COL_PURPLE
3D8D00  COL_GREEN
8A7EFF  COL_BLUE
FFFF87  COL_YELLOW
C18A40  COL_ORANGE
775C00  COL_BROWN
AFC81C  COL_YELLOW_GREEN
FBA8F4  COL_PINK
7AD282  COL_BLUE_GREEN
AFC6FF  COL_LIGHT_BLUE
5735D8  COL_DARK_BLUE
A3CD21  COL_LIGHT_GRN
