# C64 Palette - Colodore
000000  COL_BLACK
FFFFFF  COL_WHITE
813338  COL_RED
75CEC8  COL_CYAN
8E3C97  COL_PURPLE
56AC4D  COL_GREEN
2E2C9B  COL_BLUE
EDF171  COL_YELLOW
8E5029  COL_ORANGE
553800  COL_BROWN
C46C71  COL_LIGHT_RED
4A4A4A  COL_DARK_GRAY
7B7B7B  COL_MEDIUM_GRAY
A9FF9F  COL_LIGHT_GREEN
706DEB  COL_LIGHT_BLUE
B2B2B2  COL_LIGHT_GRAY
